City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather description
265,Yar-Sale,66.8333,70.8333,-1.93,100,96,6.31,RU,overcast clouds
266,Hualmay,-11.0964,-77.6139,72.09,79,67,7.7,PE,broken clouds
267,Laiyang,36.9758,120.7136,25.12,52,9,12.62,CN,clear sky
268,Komatipoort,-25.4332,31.9548,91.06,32,0,9.66,ZA,clear sky
269,Ossora,59.2353,163.0719,16.11,62,98,8.34,RU,overcast clouds
270,Emba,48.8264,58.1442,15.57,86,69,7.56,KZ,broken clouds
271,Kavaratti,10.5669,72.642,81.93,68,96,12.71,IN,overcast clouds
272,Teknaf,20.8624,92.3058,68.04,69,91,10.78,BD,overcast clouds
273,Jumla,29.2747,82.1838,34.25,35,0,6.6,NP,clear sky
274,Haines Junction,60.7522,-137.5108,-27.18,100,97,0.72,CA,overcast clouds
275,Hamilton,39.1834,-84.5333,-3.91,78,100,24.16,US,overcast clouds
276,Lavrentiya,65.5833,-171.0,14.99,75,1,16.33,RU,clear sky
277,Loknya,56.83,30.1467,33.6,99,100,7.29,RU,overcast clouds
278,Hambantota,6.1241,81.1185,78.82,82,32,3.65,LK,scattered clouds
279,Necochea,-38.5473,-58.7368,79.63,55,91,3.78,AR,overcast clouds
280,Rio Gallegos,-51.6226,-69.2181,54.32,34,62,45.1,AR,broken clouds
281,Srednekolymsk,67.45,153.6833,-20.65,89,5,3.74,RU,clear sky
282,Pauini,-7.7136,-66.9764,90.75,50,35,3.74,BR,scattered clouds
283,Mitu,1.1983,-70.1733,85.77,55,21,4.7,CO,few clouds
284,Dedougou,12.4667,-3.4667,86.23,12,95,10.71,BF,overcast clouds
285,Praia Da Vitoria,38.7333,-27.0667,60.76,67,9,16.22,PT,light rain
286,Zabaykalsk,49.6333,117.3167,-20.07,88,9,5.99,RU,clear sky
287,Porto Nacional,-10.7081,-48.4172,80.6,83,93,4.81,BR,overcast clouds
288,Iqaluit,63.7506,-68.5145,13.69,78,100,5.99,CA,overcast clouds
289,Camopi,3.1655,-52.3158,83.12,64,70,4.74,GF,broken clouds
290,Krasnoselkup,65.7,82.4667,-5.1,97,100,19.93,RU,light snow
291,Buta,2.7858,24.73,86.04,47,100,2.8,CD,overcast clouds
292,Salekhard,66.53,66.6019,-7.26,98,100,3.65,RU,overcast clouds
293,Tahta,26.7693,31.5021,64.2,47,89,11.83,EG,overcast clouds
294,Magistralnyy,56.1725,107.4458,-3.5,98,100,3.15,RU,overcast clouds
295,Gamba,-2.65,10.0,78.24,78,100,3.71,GA,overcast clouds
296,Klamath Falls,42.2249,-121.7817,37.85,94,100,5.75,US,overcast clouds
297,Changde,29.0464,111.6783,49.91,27,6,3.33,CN,clear sky
298,Saint-Leu,-21.15,55.2833,81.46,78,100,5.19,RE,overcast clouds
299,Pasighat,28.0667,95.3333,61.95,57,0,4.76,IN,clear sky
300,Salinopolis,-0.6136,-47.3561,74.3,95,100,8.16,BR,overcast clouds
301,Boquira,-12.8231,-42.7306,71.06,93,100,1.81,BR,overcast clouds
302,Robe,-37.1833,139.75,57.81,73,100,5.86,AU,overcast clouds
303,Vrangel,42.7297,133.0839,25.21,66,100,23.49,RU,overcast clouds
304,Namibe,-15.1961,12.1522,71.76,73,39,11.27,AO,scattered clouds
305,Fare,-16.7,-151.0167,79.79,77,43,12.48,PF,light rain
306,Kemlya,54.6963,45.2424,34.74,99,100,13.58,RU,overcast clouds
307,Okhotsk,59.3833,143.3,12.42,71,100,14.5,RU,overcast clouds
308,Ust-Kut,56.7938,105.7672,-6.52,100,100,1.16,RU,overcast clouds
309,Moron,-34.6534,-58.6198,81.01,70,77,5.3,AR,broken clouds
310,Mlonggo,-6.5333,110.7,76.93,90,100,20.65,ID,overcast clouds
311,Laramie,41.3114,-105.5911,2.55,71,0,9.22,US,clear sky
312,Pangkalanbuun,-2.6833,111.6167,70.3,96,100,4.29,ID,light rain
313,Lorengau,-2.0226,147.2712,82.35,82,100,10.67,PG,overcast clouds
314,Charters Towers,-20.1,146.2667,72.91,83,92,13.22,AU,overcast clouds
315,Hare Bay,48.8499,-54.0148,25.2,63,21,6.46,CA,few clouds
316,Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.03,81,100,12.82,RU,light snow
317,Aldan,58.6031,125.3894,-25.15,100,87,1.88,RU,overcast clouds
318,Taoudenni,22.6783,-3.9836,78.03,14,0,13.71,ML,clear sky
319,Pinega,64.7001,43.3936,32.76,97,100,7.76,RU,overcast clouds
320,Crossville,35.949,-85.0269,3.49,78,100,17.27,US,overcast clouds
321,Touros,-5.1989,-35.4608,86.22,58,93,11.74,BR,overcast clouds
322,Usinsk,65.9939,57.5281,13.78,96,100,5.5,RU,overcast clouds
323,Nishihara,26.1842,127.7558,56.48,62,75,28.77,JP,broken clouds
324,Tilichiki,60.4667,166.1,-1.86,84,0,12.57,RU,clear sky
325,Vila Franca Do Campo,37.7167,-25.4333,61.21,63,100,14.41,PT,overcast clouds
326,Sabzevar,36.2126,57.6819,41.36,42,0,5.06,IR,clear sky
327,Fort Nelson,58.8053,-122.7002,-19.84,93,100,1.7,CA,overcast clouds
328,Daulatpur,26.5015,67.9706,63.79,24,0,4.18,PK,clear sky
329,Tamsweg,47.1281,13.811,41.43,99,99,1.63,AT,overcast clouds
330,Erzin,36.9559,36.2,55.71,59,20,5.12,TR,few clouds
331,Whitianga,-36.8333,175.7,61.09,93,77,4.68,NZ,broken clouds
332,Labuhan,-6.8844,112.2051,76.77,88,100,22.17,ID,moderate rain
333,Carnarvon,-24.8667,113.6333,80.2,65,1,7.11,AU,clear sky
334,Nelson Bay,-32.7167,152.15,68.09,90,100,5.01,AU,light rain
335,Presidencia Roque Saenz Pena,-26.7852,-60.4388,99.63,21,90,11.68,AR,overcast clouds
336,Erdenet,49.0333,104.0833,1.11,99,100,1.36,MN,overcast clouds
337,Itoman,26.1247,127.6694,57.22,62,75,28.77,JP,broken clouds
338,Loei,17.4167,101.5,64.11,71,98,2.57,TH,overcast clouds
339,Rawson,-43.3002,-65.1023,64.44,26,1,21.47,AR,clear sky
340,Loandjili,-4.7561,11.8578,79.09,77,98,5.59,CG,overcast clouds
341,Innisfail,-17.5333,146.0333,75.81,90,99,2.77,AU,overcast clouds
342,Souillac,-20.5167,57.5167,79.18,69,20,11.5,MU,few clouds
343,Marsh Harbour,26.5412,-77.0636,77.65,78,87,17.6,BS,overcast clouds
344,Russell,32.3502,-85.1999,26.19,50,0,20.71,US,clear sky
